cecha_1,cecha_2,r,abs_r,n_wspolnych_obserwacji
log_assets_t,log1p_revenues_t,0.9565918528746997,0.9565918528746997,18172
roa_t,profit_margin_t,0.9427217224940757,0.9427217224940757,18032
current_ratio_t,working_capital_to_assets_t,0.9152094001107215,0.9152094001107215,19594
ocf_to_assets_t,ocf_margin_t,0.8628346533890072,0.8628346533890072,18150
roa_t,ocf_to_assets_t,0.7522829567797318,0.7522829567797318,19229
profit_margin_t,ocf_margin_t,0.7340990227916586,0.7340990227916586,18016
ocf_to_assets_t,profit_margin_t,0.7152339297626273,0.7152339297626273,18011
current_ratio_t,liabilities_to_assets_t,-0.705351916503261,0.705351916503261,19568
roa_t,ocf_margin_t,0.6570648727523867,0.6570648727523867,18011
liabilities_to_assets_t,working_capital_to_assets_t,-0.6508766251678179,0.6508766251678179,19568
