cik,cik10,name_from_ticker_map,name_from_sec,entity_type,sic,sic_int,sic_description,sic_major_group,research_sector,include_in_research_universe,exclude_reason,classification_rule,fiscal_year_end,tickers,exchanges
1750,0000001750,AAR CORP,AAR CORP,operating,3720,3720.0,Aircraft & Parts,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0531,AIR,NYSE
1800,0000001800,ABBOTT LABORATORIES,ABBOTT LABORATORIES,operating,2834,2834.0,Pharmaceutical Preparations,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,ABT,NYSE
2098,0000002098,ACME UNITED CORP,ACME UNITED CORP,operating,3420,3420.0,"Cutlery, Handtools & General Hardware",Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,ACU,NYSE
2186,0000002186,BK Technologies Corp,BK Technologies Corp,operating,3663,3663.0,Radio & Tv Broadcasting & Communications Equipment,Manufacturing,Technology,True,,technology_sic_range_or_keyword,1231,BKTI,NYSE
2230,0000002230,"ADAMS DIVERSIFIED EQUITY FUND, INC.","ADAMS DIVERSIFIED EQUITY FUND, INC.",other,,,,Unknown,Unknown,False,missing_sic,sic_missing_or_invalid,1231,ADX,NYSE
2488,0000002488,ADVANCED MICRO DEVICES INC,ADVANCED MICRO DEVICES INC,operating,3674,3674.0,Semiconductors & Related Devices,Manufacturing,Technology,True,,technology_sic_range_or_keyword,1226,AMD,Nasdaq
2809,0000002809,AGNICO EAGLE MINES LTD,AGNICO EAGLE MINES LTD,other,1040,1040.0,Gold and Silver Ores,Mining,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,1231,AEM,NYSE
2969,0000002969,"Air Products & Chemicals, Inc.","Air Products & Chemicals, Inc.",operating,2810,2810.0,Industrial Inorganic Chemicals,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0930,APD,NYSE
3197,0000003197,CECO ENVIRONMENTAL CORP,CECO ENVIRONMENTAL CORP,operating,3564,3564.0,Industrial & Commercial Fans & Blowers & Air Purifing Equip,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,CECO,Nasdaq
3453,0000003453,"Matson, Inc.","Matson, Inc.",operating,4400,4400.0,Water Transportation,Transportation_Communications_Utilities,Extended_Candidate,True,,extended_candidate_transportation_communications,1231,MATX,NYSE
